
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007711                       # Number of seconds simulated (Second)
simTicks                                   7710505000                       # Number of ticks simulated (Tick)
finalTick                                  7710505000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    227.65                       # Real time elapsed on the host (Second)
hostTickRate                                 33869304                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     656132                       # Number of bytes of host memory used (Byte)
simInsts                                      4267330                       # Number of instructions simulated (Count)
simOps                                        7553230                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    18745                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      33178                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7710506                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9698004                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   138710                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8637508                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  17960                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2283414                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5578112                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               78044                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7659568                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.127676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.673815                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4474484     58.42%     58.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    772542     10.09%     68.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    924305     12.07%     80.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    694605      9.07%     89.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    396579      5.18%     94.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    125454      1.64%     96.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    211091      2.76%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     31655      0.41%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     28853      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7659568                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   39910     59.35%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     59.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     17      0.03%     59.37% # attempts to use FU when none available (Count)
